Course Code,Department,Course Name,Study Hours per Week,Average GPA Received,Average Letter Grade Received
BENG 127B,BENG,Design Implmnt Molec.Syst BENG,7.877,3.92,A- (3.7)
BENG 128A,BENG,Design Dev.Genetc Circuit BENG,9.142857142857142,3.85,A- (3.7)
BENG 128B,BENG,Design Implmnt Genetic Circuit,7.97,4.0,A+/A (4.0)
BENG 129A,BENG,Design Develp.Cell System BENG,6.3585714285714285,3.95,A- (3.7)
BENG 129B,BENG,Design Implmnt Cell Systm BENG,7.984999999999999,3.875,A- (3.7)
BENG 130,BENG,Biotech Thermodynamics & Kinet,6.72,3.4263636363636363,B+ (3.3)
BENG 130,BENG,Molecular Physical Chemistry,6.726666666666667,3.106666666666667,B (3.0)
BENG 133,BENG,Numerical Analys-Computatn Eng,7.384285714285714,3.531428571428571,B+ (3.3)
BENG 134,BENG,Measurements/Stats/Probability,9.873000000000001,3.3899999999999997,B+ (3.3)
BENG 135,BENG,Biomedical Signals & Systems,6.890000000000001,3.5375,B+ (3.3)
BENG 139A,BENG,Design Develpmt Molecular BENG,9.009090909090908,3.62,B+ (3.3)
BENG 139B,BENG,Design Implmntn Molecular BENG,9.496666666666668,3.93,A- (3.7)
BENG 140A,BENG,Bioengineering Physiology,6.483684210526316,3.281052631578947,B (3.0)
BENG 140B,BENG,Bioengineering Physiology,6.314,3.2845,B (3.0)
BENG 141,BENG,Biomedical Optics and Imaging,4.9575,3.7014285714285715,A- (3.7)
BENG 147A,BENG,Design Develpmnt in Neural Eng,8.502727272727272,3.81,A- (3.7)
BENG 147B,BENG,Design Implmntatn Neural Engin,8.946923076923078,3.68,B+ (3.3)
BENG 152,BENG,BioSystems Engineering Lab,7.118888888888888,3.72,A- (3.7)
BENG 160,BENG,Chem & Molecular BENG Techniqs,7.443157894736841,3.6378947368421053,B+ (3.3)
BENG 161A,BENG,Bioreactor Engineering,7.999411764705883,3.2894117647058825,B (3.0)
BENG 161B,BENG,Biochemical Engineering,7.826956521739131,3.35,B+ (3.3)
BENG 162,BENG,Biotechnology Laboratory,7.720000000000001,3.5810526315789475,B+ (3.3)
BENG 166A,BENG,Cell and Tissue Engineering,6.92875,3.428125,B+ (3.3)
BENG 168,BENG,Biomolecular Engineering,6.662999999999999,3.51,B+ (3.3)
BENG 169A,BENG,Design Developmnt Tissue Engin,6.748125,3.9333333333333336,A- (3.7)
BENG 169B,BENG,Design Implmntatn Tissue Engin,7.047272727272727,3.9433333333333334,A- (3.7)
BENG 172,BENG,Bioengineering Laboratory,10.168214285714285,3.4778571428571428,B+ (3.3)
BENG 179A,BENG,Design Develop.Bioinstrumntatn,6.157,3.8160000000000003,A- (3.7)
BENG 179B,BENG,Design Implmnt Bioinstrumntatn,7.486111111111111,3.78,A- (3.7)
BENG 181,BENG,Molecular Sequence Analysis,14.208125,3.21625,B (3.0)
BENG 182,BENG,Biological Databases,9.098333333333334,3.3400000000000003,B+ (3.3)
BENG 183,BENG,Applied Genomic Technologies,5.6,3.6841666666666666,B+ (3.3)
BENG 186A,BENG,Principles/Biomaterials Design,6.3325000000000005,3.061875,B (3.0)
BENG 186B,BENG,Princpls/Bioinstrumentatn Desn,9.6585,3.3205,B+ (3.3)
BENG 187A,BENG,BENG Design Project: Planning,1.4793333333333334,3.7455555555555557,A- (3.7)
BENG 187B,BENG,BENG Design Project:Developmnt,6.490588235294118,3.7588888888888885,A- (3.7)
BENG 187C,BENG,BENG Design Proj:Implemntation,5.676666666666667,3.7600000000000002,A- (3.7)
BENG 187D,BENG,BENG Design Proj:Presentation,4.574166666666667,3.86,A- (3.7)
BENG 189,BENG,Physiological Systems Eng,6.882222222222222,3.682,B+ (3.3)
BENG 191,BENG,Senior Sem I: Professnl Issues,2.0933333333333333,3.81,A- (3.7)
BENG 193,BENG,Clinical Bioengineering,6.078,3.895,A- (3.7)
BENG 193,BENG,Clinical Exp in Bioengineering,3.5766666666666667,4.0,A+/A (4.0)
BENG 2,BENG,Intro Computer Prog & MATLAB,5.8950000000000005,3.442857142857143,B+ (3.3)
BIBC 100,BIBC,Structural Biochemistry,6.705,3.0637209302325585,B (3.0)
BIBC 102,BIBC,Metabolic Biochemistry,7.629732142857143,2.885981308411215,B- (2.7)
BIBC 103,BIBC,Biochemical Techniques,7.03789156626506,3.120822784810126,B (3.0)
BIBC 104,BIBC,Biochem & Biotech/Plants,5.922857142857142,3.036,B (3.0)
